wavelength spec_bulge spec_disk spec_clump1 spec_clump2 spec_clump3
1165.0 1.3380575451842978e-06 2.853422053833492e-06 6.370534026746858e-06 9.923324755165325e-06 1.0864814494915757e-05
1175.0 1.0731001722734965e-06 2.554569847232323e-06 6.655214771294195e-06 9.21245876148451e-06 1.006389150116575e-05
1185.0 1.8838623082131897e-06 4.225953601263584e-06 1.2534845792369822e-05 1.5792296208891434e-05 1.6577370531339945e-05
1195.0 2.65513975638589e-06 6.108993449507918e-06 2.028586240370226e-05 2.3446855337045842e-05 2.384444464810641e-05
1205.0 3.275605596018703e-06 7.766541587130121e-06 2.7240682284226966e-05 2.9966827239293878e-05 3.0184852872895033e-05
1215.0 3.3116646813992525e-06 7.832742542484975e-06 2.9399464989120176e-05 3.055121278984672e-05 3.0570592064523304e-05
1225.0 3.175697508411382e-06 7.926463241408073e-06 2.8126503848402692e-05 3.084260597651163e-05 3.1021902553689094e-05
1235.0 2.593215349283103e-06 6.29239537684306e-06 1.998861167541289e-05 2.351643832103794e-05 2.4122235168991706e-05
1245.0 2.25028168969018e-06 5.604474570944463e-06 1.5259792934322343e-05 1.895508991694608e-05 1.9841286757332013e-05
1255.0 1.674639740119461e-06 3.991827214088976e-06 9.381077463512391e-06 1.3074925268719555e-05 1.4075266405334612e-05
1265.0 1.3948643142622828e-06 3.2630476799570487e-06 6.944930332962688e-06 1.0459394059115172e-05 1.1301086586370968e-05
1275.0 1.4545672292120505e-06 3.3488254729688165e-06 6.142342268993309e-06 9.986454051782918e-06 1.1185262802188865e-05
1285.0 1.443104241427995e-06 3.344832389551717e-06 5.908159831630924e-06 9.757182376878082e-06 1.1097409754545916e-05
1295.0 1.2038835808243077e-06 3.0260032620136585e-06 5.50783371150458e-06 9.052526053445786e-06 1.0340055236701293e-05
1305.0 1.326102607845931e-06 3.197471011845152e-06 5.817379914859231e-06 9.452305522126595e-06 1.0666986779084926e-05
1315.0 1.3440097672097456e-06 3.369591234535065e-06 5.860183434978354e-06 9.760676857108927e-06 1.1192797059346412e-05
1325.0 1.252360915222806e-06 3.2779353302528885e-06 5.798961025761956e-06 9.605421010180754e-06 1.1059343004623916e-05
1335.0 1.2048376719425097e-06 3.146892285167816e-06 5.61771408239671e-06 9.177213322349907e-06 1.0586843695701163e-05
1345.0 1.4813275164478869e-06 3.566784497627653e-06 5.911117913118518e-06 9.813954942017737e-06 1.1389818309932501e-05
1355.0 1.259664404597642e-06 3.3602606217474825e-06 5.785845886213946e-06 9.617117899103586e-06 1.1146010574484347e-05
1365.0 1.2240080875259328e-06 3.224072318011586e-06 5.504304724561423e-06 9.310542841165741e-06 1.07773793408068e-05
1375.0 1.3274639416380612e-06 3.387470070272323e-06 5.817639658624376e-06 9.418978951904116e-06 1.097251805485289e-05
1385.0 1.1266913682377232e-06 3.5205568274369157e-06 5.852737244811216e-06 9.736791860357755e-06 1.1343861906837666e-05
1395.0 1.2140332349444487e-06 3.825883848735217e-06 5.840128458732816e-06 9.955855625183979e-06 1.1593590077976946e-05
1405.0 1.46685928376622e-06 3.7309712888223487e-06 5.773691415338924e-06 9.809689405770205e-06 1.1476038829349942e-05
1415.0 1.312263171264127e-06 3.5549698352711253e-06 5.831388971374667e-06 9.665609866511438e-06 1.1274555547313553e-05
1425.0 1.2748708721518388e-06 3.4229929019021812e-06 5.550022685524562e-06 9.288430995508773e-06 1.0940924316003853e-05
1435.0 1.302533289531588e-06 3.593494650078391e-06 5.80752605098953e-06 9.679988538093253e-06 1.1292721463626493e-05
1442.0 1.3814156100987942e-06 3.7025891311785054e-06 5.836896919338217e-06 9.763208559292925e-06 1.1465429881223146e-05
1447.0 1.4254535030080326e-06 3.7796897426302864e-06 5.8446335169692165e-06 9.801118419638851e-06 1.1546452568985969e-05
1455.0 1.31481476290319e-06 3.6653786712942494e-06 5.771983423486783e-06 9.636026930358238e-06 1.1379932156140019e-05
1465.0 1.3015198986323214e-06 3.633856709110614e-06 5.763104915643429e-06 9.591901628039524e-06 1.1291445724890491e-05
1475.0 1.3753307975732871e-06 3.7199508339394525e-06 5.789312708304351e-06 9.651314215318876e-06 1.1341078926018528e-05
1485.0 1.3508393656149068e-06 3.7009886257962664e-06 5.758424538882897e-06 9.60269533482846e-06 1.1319760387749745e-05
1495.0 1.414348276849001e-06 3.812204934608297e-06 5.7722380563128e-06 9.66252215461772e-06 1.141793828096093e-05
1505.0 1.2607975252118517e-06 3.62837861171527e-06 5.649624027627327e-06 9.446473057241748e-06 1.122076307945405e-05
1512.0 1.1677757734256861e-06 3.476221318617548e-06 5.583804866342241e-06 9.183553477270881e-06 1.0912877661050576e-05
1517.0 1.2880993732443224e-06 3.627075623578425e-06 5.564136402300416e-06 9.32857490617298e-06 1.1123149569970223e-05
1525.0 1.2018332568067654e-06 3.5049757312284156e-06 5.59076850228746e-06 9.154159177260419e-06 1.086192775985742e-05
1535.0 9.841003085412721e-07 3.4877019440744075e-06 5.558027666645437e-06 9.169181480497535e-06 1.0820796399156793e-05
1545.0 8.019892568813887e-07 2.608073796148092e-06 4.2620760652682275e-06 7.419736108443633e-06 9.232814576808894e-06
1555.0 1.49056862503906e-06 3.9546809613022394e-06 5.796303453577974e-06 9.451980280799275e-06 1.1186325185139417e-05
1565.0 1.1651379874604932e-06 3.4977500578741297e-06 5.455806128272976e-06 9.049711606505105e-06 1.0714184692618666e-05
1575.0 1.118395429568454e-06 3.3668287697619842e-06 5.214818893953555e-06 8.77164776629499e-06 1.0512907920148186e-05
1585.0 1.1749714956063704e-06 3.5619445583433205e-06 5.4071127246470225e-06 9.087056264534486e-06 1.0907888945236609e-05
1595.0 1.2964183677683777e-06 3.803006049214697e-06 5.546661231756872e-06 9.32508807666149e-06 1.1213668667171747e-05
1605.0 1.351315819245449e-06 3.854914841885422e-06 5.513168876094089e-06 9.302134255068717e-06 1.1119670642972515e-05
1615.0 1.3336909240043975e-06 3.846368935069647e-06 5.45631340400077e-06 9.263061715810687e-06 1.110273686614845e-05
1625.0 1.3238697450028456e-06 3.820685385185619e-06 5.469894110005039e-06 9.219450218829609e-06 1.0976848811165926e-05
1635.0 1.2254351682194627e-06 3.6972552203213786e-06 5.37565179476101e-06 9.129615436690429e-06 1.0943265287217007e-05
1645.0 1.321657253472967e-06 3.898054427704946e-06 5.515160584692116e-06 9.302935550962438e-06 1.1149704673493749e-05
